PCTNUM,PRECINCTNA,CDE_COUNTY,COUNTYNAME,Registered Voters,Harris,Trump,Oliver,Stein,Write-in,PresTot,Gallego,Lake,Quintana,Write-in,SenTot,Engel,Ciscomani,Eastwood,Write-in,"GRIJALVA, RAÃšL M.","BUTIEREZ SR., DANIEL FRANCIS",Write-in,"SHAH, AMISH","SCHWEIKERT, DAVID",Write-in,"NEZ, JONATHAN","CRANE, ELI",Write-in,"ANSARI, YASSAMIN","ZINK, JEFF","AVERSA, ALAN",Write-in,"STANTON, GREG","COOPER, KELLY","BECK-JONES, VINCENT",Write-in,"SCHAFFNER, KATRINA","BIGGS, ANDY",Write-in,"WHITTEN, GREGORY","HAMADEH, ABRAHAM ""ABE""",Write-in,"SMITH, QUACY","GOSAR, PAUL",Write-in
PM0001,1,PM,Pima,1771,654,603,5,8,3,1273,687,537,38,0,1262,0,0,0,0,676,557,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0002,2,PM,Pima,268,101,73,0,1,1,176,100,69,7,0,176,0,0,0,0,97,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0003,3,PM,Pima,258,174,8,1,1,0,184,171,10,7,0,188,0,0,0,0,178,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0004,4,PM,Pima,1163,636,96,3,5,2,742,643,77,23,0,743,0,0,0,0,674,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0005,5,PM,Pima,4929,1028,2521,25,16,7,3597,1119,2270,130,10,3529,0,0,0,0,1029,2444,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0006,6,PM,Pima,6013,2063,2859,31,19,13,4985,2194,2588,102,7,4891,1941,2797,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0007,7,PM,Pima,103,26,40,0,1,0,67,26,38,2,0,66,0,0,0,0,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0008,8,PM,Pima,590,238,215,9,7,1,470,242,201,25,0,468,0,0,0,0,238,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0009,9,PM,Pima,2757,1357,915,13,16,5,2306,1389,816,54,0,2259,1280,893,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0010,10,PM,Pima,2144,1027,839,6,8,6,1886,1030,784,47,3,1864,982,818,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0011,11,PM,Pima,3680,853,2202,25,9,12,3101,943,2025,73,9,3050,817,2132,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0012,12,PM,Pima,5266,2386,2034,21,18,18,4477,2440,1891,76,4,4411,2242,2064,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0013,13,PM,Pima,3156,1364,1160,23,13,5,2565,1422,1036,63,4,2525,1307,1133,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0014,14,PM,Pima,4287,1718,1722,18,14,4,3476,1745,1577,81,5,3408,1613,1692,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0015,15,PM,Pima,1700,583,710,7,9,4,1313,595,653,36,2,1286,536,690,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0016,16,PM,Pima,2955,1792,727,15,18,8,2560,1808,637,67,3,2515,0,0,0,0,1730,730,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0017,17,PM,Pima,2006,1208,327,7,16,4,1562,1220,281,40,3,1544,0,0,0,0,1201,313,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0018,18,PM,Pima,2510,1258,340,12,21,8,1639,1263,274,68,2,1607,0,0,0,0,1262,306,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0019,19,PM,Pima,686,202,277,1,3,2,485,205,247,23,2,477,0,0,0,0,211,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0020,20,PM,Pima,3605,1619,595,10,8,9,2241,1626,485,77,4,2192,0,0,0,0,1620,536,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0021,21,PM,Pima,3341,1656,1181,19,11,5,2872,1699,1049,80,1,2829,0,0,0,0,1567,1203,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0022,22,PM,Pima,4504,1706,951,13,12,11,2693,1748,793,102,2,2645,0,0,0,0,1747,850,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0023,23,PM,Pima,3825,1661,890,7,6,9,2573,1704,742,86,0,2532,0,0,0,0,1671,832,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0024,24,PM,Pima,2482,738,1116,20,9,11,1894,767,1038,52,7,1864,693,1103,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0025,25,PM,Pima,2959,1213,444,4,10,4,1675,1219,356,78,0,1653,0,0,0,0,1238,383,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0026,26,PM,Pima,3111,1255,471,4,9,4,1743,1297,356,60,1,1714,0,0,0,0,1303,380,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0028,28,PM,Pima,1798,736,281,3,5,4,1029,757,226,26,1,1010,0,0,0,0,756,247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0029,29,PM,Pima,922,467,318,8,10,6,809,474,298,16,1,789,419,357,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0030,30,PM,Pima,3369,1606,1044,17,21,7,2695,1646,933,57,1,2637,1504,1047,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0031,31,PM,Pima,2103,733,685,8,13,6,1445,776,582,63,1,1422,0,0,0,0,726,666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0032,32,PM,Pima,4783,1700,1469,23,28,11,3231,1707,1316,125,4,3152,0,0,0,0,1691,1393,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0033,33,PM,Pima,2572,1414,680,13,13,9,2129,1442,600,50,6,2098,0,0,0,0,1353,697,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0034,34,PM,Pima,1561,584,434,3,7,4,1032,600,369,33,2,1004,0,0,0,0,587,395,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0035,35,PM,Pima,396,159,188,2,1,1,351,164,178,2,0,344,154,187,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0036,36,PM,Pima,4571,1580,1015,8,33,6,2642,1571,868,133,5,2577,0,0,0,0,1558,957,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0037,37,PM,Pima,1482,666,227,3,8,1,905,673,188,33,0,894,0,0,0,0,672,207,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0038,38,PM,Pima,2283,970,499,7,23,6,1505,969,439,60,2,1470,0,0,0,0,945,482,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0039,39,PM,Pima,3649,1496,1624,10,15,11,3156,1541,1495,72,2,3110,1382,1615,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0040,40,PM,Pima,3332,1237,1337,15,14,8,2611,1274,1219,65,3,2561,1161,1314,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0041,41,PM,Pima,8283,3364,2365,22,25,9,5785,3489,1994,180,7,5670,0,0,0,0,3377,2184,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0042,42,PM,Pima,4374,2395,562,12,42,29,3040,2348,491,126,3,2968,0,0,0,0,2372,525,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0043,43,PM,Pima,1724,682,240,7,10,5,944,670,191,57,2,920,0,0,0,0,713,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0044,44,PM,Pima,2853,1417,258,7,29,11,1722,1410,227,50,3,1690,0,0,0,0,1405,254,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0045,45,PM,Pima,2087,1405,226,5,19,12,1667,1387,203,40,3,1633,0,0,0,0,1384,211,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0046,46,PM,Pima,1066,392,518,11,4,5,930,416,482,16,7,921,381,517,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0047,47,PM,Pima,4279,1625,524,15,21,9,2194,1614,395,125,3,2137,0,0,0,0,1686,423,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM0048,48,PM,Pima,3224,985,612,3,14,11,1625,1024,509,71,6,1610,0,0,0,0,1053,524,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
