JoinField,UNIQUE_ID,COUNTYFP,Parish,Precinct,G24PREDHAR,G24PRERTRU,G24PRETOT,G24A1NO,G24A1YES,G24PRELOLI,G24PREOCRU,G24PREOFRU,G24PREOKEN,G24PREOPRE,G24PREOSON,G24PREOSTE,G24PREOTER,G24PREOWES,GCON01DMAN,GCON01NHYE,GCON01RARR,GCON01RSCA,GCON01RSHA,GCON02DCAR,GCON02DDAV,GCON02RGRA,GCON02RLYN,GCON02RPER,GCON03DGON,GCON03DSUM,GCON03RHIG,GCON03RJOH,GCON04RJOH,GCON04RMOR,GCON05DVAL,GCON05RLET,GCON05RMEN,GCON06DAND,GCON06DFIE,GCON06DJON,GCON06DWIL,GCON06RGUI
001;1-1,Acadia-1-1,001,Acadia,01 01,87,991,1095,232,793,7,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77,19,958,32,0,0,0,0,0,0,0,0,0,0
001;1-2,Acadia-1-2,001,Acadia,01 02,171,559,740,214,473,3,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,116,36,541,25,0,0,0,0,0,0,0,0,0,0
001;1-3,Acadia-1-3,001,Acadia,01 03,141,648,797,218,523,1,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,108,17,638,9,0,0,0,0,0,0,0,0,0,0
001;1-4,Acadia-1-4,001,Acadia,01 04,149,783,945,245,614,3,0,0,2,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,114,27,733,40,0,0,0,0,0,0,0,0,0,0
001;1-5,Acadia-1-5,001,Acadia,01 05,185,160,352,120,182,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,127,36,165,0,0,0,0,0,0,0,0,0,0,0
001;1-6,Acadia-1-6,001,Acadia,01 06,512,87,613,208,329,1,0,0,5,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,313,84,118,9,0,0,0,0,0,0,0,0,0,0
001;1-7,Acadia-1-7,001,Acadia,01 07,30,529,567,129,412,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,22,6,504,17,0,0,0,0,0,0,0,0,0,0
001;1-8,Acadia-1-8,001,Acadia,01 08,123,586,719,233,449,1,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,86,27,577,21,0,0,0,0,0,0,0,0,0,0
001;2-1,Acadia-2-1,001,Acadia,02 01,83,1039,1135,325,705,3,2,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,42,24,1016,22,0,0,0,0,0,0,0,0,0,0
001;2-2,Acadia-2-2,001,Acadia,02 02,30,704,738,178,513,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,14,670,24,0,0,0,0,0,0,0,0,0,0
001;2-3,Acadia-2-3,001,Acadia,02 03,107,672,785,175,545,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,58,19,633,8,0,0,0,0,0,0,0,0,0,0
