TOWN,COUNTY,PresDem,PresRep,PresTot
T7 R6 WELS,Penobscot,0,0,0
Forsyth,Somerset,0,0,0
T9 R16 WELS,Somerset,0,0,0
Starks,Somerset,151,242,415
Friendship,Knox,303,523,848
T37 MD BPP,Washington,0,0,0
T5 R18 WELS,Somerset,0,0,0
Baileyville,Washington,221,468,701
Lubec,Washington,480,409,916
Bradstreet,Somerset,0,0,0
T12 R14 WELS,Aroostook,0,0,0
Misery,Somerset,0,0,0
TB R11 WELS,Piscataquis,0,0,0
Big W,Somerset,0,0,0
Monticello,Aroostook,80,337,423
Amity,Aroostook,31,126,160
Otisfield,Oxford,547,660,1246
T4 R14 WELS,Piscataquis,0,0,0
Ludlow,Aroostook,61,185,257
T11 R17 WELS,Aroostook,0,0,0
Stetsontown,Franklin,0,0,0
Westport Island,Lincoln,313,236,568
T10 R15 WELS,Piscataquis,0,0,0
Hanover,Oxford,111,82,204
TA R11 WELS,Piscataquis,0,0,0
Bangor,Penobscot,9332,6212,16098
Roxbury,Oxford,89,168,262
Hermon,Penobscot,1522,2530,4156
T14 R11 WELS,Aroostook,0,0,0
West Paris,Oxford,385,631,1044
Hartland,Somerset,293,663,986
Freeman,Franklin,0,0,0
Oxbow North Twp,Aroostook,13,29,45
Bowmantown,Oxford,0,0,0
Forest City,Washington,0,0,0
T2 R8 NWP,Penobscot,0,0,0
Dexter,Penobscot,693,1271,2015
Pittston Academy Grant,Somerset,0,0,0
Orono,Penobscot,3676,1523,5471
Livermore,Androscoggin,565,835,1441
T7 R17 WELS,Somerset,0,0,0
T6 ND BPP,Washington,0,0,0
Whitefield,Lincoln,677,758,1497
Minot,Androscoggin,701,1120,1867
Lower Cupsuptic,Oxford,0,0,0
Tim Pond,Franklin,0,0,0
Coplin Plantation,Franklin,71,40,116
Moosehead Junction,Piscataquis,0,0,0
Bigelow,Somerset,0,0,0
Big Six,Somerset,0,0,0
T12 R7 WELS,Aroostook,0,0,0
South Berwick,York,2758,1833,4744
Richardsontown,Oxford,0,0,0
Verona Island,Hancock,157,198,368
Liberty,Waldo,283,327,636
Brownville/Twps,Piscataquis,248,539,810
