City/Town,Ward,Pct,JoinField,PresDem,PresRep,PresTot
Abington,-,1,Abington Precinct 1,1019,905,2001
Abington,-,2,Abington Precinct 2,833,882,1774
Abington,-,3,Abington Precinct 3,872,985,1909
Abington,-,4,Abington Precinct 4,978,954,2002
Abington,-,5,Abington Precinct 5,1012,913,1989
Acton,-,1,Acton Precinct 1,1051,359,1473
Acton,-,2,Acton Precinct 2,1504,397,2004
Acton,-,3,Acton Precinct 3,1744,388,2241
Acton,-,4,Acton Precinct 4,1583,377,2057
Acton,-,5,Acton Precinct 5,1561,354,2000
Acton,-,6,Acton Precinct 6,1097,220,1375
Acton,-,6A,Acton Precinct 6A,467,90,584
Acton,-,7,Acton Precinct 7,1170,351,1597
Acushnet,-,1,Acushnet Precinct 1,745,1148,1930
Acushnet,-,2,Acushnet Precinct 2,670,1201,1918
Acushnet,-,2A,Acushnet Precinct 2A,92,138,233
Acushnet,-,3,Acushnet Precinct 3,804,1321,2190
Adams,-,1,Adams Precinct 1,463,277,765
Adams,-,2,Adams Precinct 2,539,357,924
Adams,-,3,Adams Precinct 3,529,362,915
Adams,-,4,Adams Precinct 4,475,303,802
Adams,-,5,Adams Precinct 5,597,360,989
Agawam,-,1,Agawam Precinct 1,746,949,1746
Agawam,-,2,Agawam Precinct 2,929,1190,2190
Agawam,-,3,Agawam Precinct 3,807,1039,1919
Agawam,-,4,Agawam Precinct 4,796,807,1654
Agawam,-,5,Agawam Precinct 5,989,1114,2179
Agawam,-,6,Agawam Precinct 6,858,1051,1972
Agawam,-,7,Agawam Precinct 7,907,1174,2139
Agawam,-,8,Agawam Precinct 8,910,1050,2033
Alford,-,1,Alford Precinct 1,252,58,326
Amesbury,-,1,Amesbury Precinct 1,1324,710,2095
Amesbury,-,2,Amesbury Precinct 2,1130,528,1720
Amesbury,-,3,Amesbury Precinct 3,1205,540,1802
Amesbury,-,4,Amesbury Precinct 4,856,533,1429
Amesbury,-,5,Amesbury Precinct 5,1096,729,1895
Amesbury,-,6,Amesbury Precinct 6,956,460,1480
Amherst,-,1A,Amherst Precinct 1A,871,102,1061
Amherst,-,1B,Amherst Precinct 1B,478,49,556
Amherst,-,2A,Amherst Precinct 2A,552,62,641
Amherst,-,2B,Amherst Precinct 2B,1502,171,1744
Amherst,-,3A,Amherst Precinct 3A,511,63,606
Amherst,-,3B,Amherst Precinct 3B,1397,165,1632
Amherst,-,4A,Amherst Precinct 4A,751,55,863
Amherst,-,4B,Amherst Precinct 4B,473,28,536
Amherst,-,5A,Amherst Precinct 5A,610,42,693
Amherst,-,5B,Amherst Precinct 5B,2171,152,2411
Andover,-,1,Andover Precinct 1,1049,343,1450
Andover,-,10,Andover Precinct 10,1417,687,2202
Andover,-,2,Andover Precinct 2,1354,664,2104
Andover,-,3,Andover Precinct 3,1565,661,2320
Andover,-,4,Andover Precinct 4,749,465,1260
Andover,-,4A,Andover Precinct 4A,421,247,700
