County,Precinct,JoinField,PresDem,PresRep,PresTot,SenDem,SenRep,SenTot,GovDem,GovRep,GovTot,HouseDem,HouseRep,HouseTot
Beaverhead,PRECINCT 01 - D-CITY,Beaverhead: PRECINCT 01 - D-CITY,170,230,420,217,199,427,164,240,415,175,233,421
Beaverhead,PRECINCT 02 - D-RURAL,Beaverhead: PRECINCT 02 - D-RURAL,180,652,856,253,603,864,189,656,855,197,634,860
Beaverhead,PRECINCT 03 - D.RURAL,Beaverhead: PRECINCT 03 - D.RURAL,200,698,921,249,668,929,196,709,915,209,687,920
Beaverhead,PRECINCT 04 - LIMA,Beaverhead: PRECINCT 04 - LIMA,37,174,215,48,158,211,32,176,211,33,173,213
Beaverhead,PRECINCT 05 - DELL,Beaverhead: PRECINCT 05 - DELL,19,125,148,26,122,150,18,130,152,23,122,152
Beaverhead,PRECINCT 06 - D-CITY,Beaverhead: PRECINCT 06 - D-CITY,161,319,496,208,278,494,158,319,488,170,303,492
Beaverhead,PRECINCT 07 - D-RURAL,Beaverhead: PRECINCT 07 - D-RURAL,78,241,327,106,220,328,66,254,327,84,239,330
Beaverhead,PRECINCT 08 - GRANT,Beaverhead: PRECINCT 08 - GRANT,14,61,77,19,56,76,14,63,77,18,57,77
Beaverhead,PRECINCT 09 - D.RURAL,Beaverhead: PRECINCT 09 - D.RURAL,134,342,498,175,321,506,128,358,499,139,343,502
Beaverhead,PRECINCT 12 - D.CITY,Beaverhead: PRECINCT 12 - D.CITY,219,364,605,275,320,613,214,372,606,224,362,608
Beaverhead,PRECINCT 14 - D.CITY,Beaverhead: PRECINCT 14 - D.CITY,171,326,526,238,270,527,176,319,516,195,311,518
Beaverhead,PRECINCT 17 - REICHLE,Beaverhead: PRECINCT 17 - REICHLE,30,119,157,44,114,162,27,125,158,33,124,161
Beaverhead,PRECINCT 19 - POLARIS,Beaverhead: PRECINCT 19 - POLARIS,38,111,150,44,105,151,39,110,150,38,112,152
Beaverhead,PRECINCT 20 - JACKSON,Beaverhead: PRECINCT 20 - JACKSON,12,75,88,17,72,92,7,83,91,12,77,92
Beaverhead,PRECINCT 21 - WISDOM,Beaverhead: PRECINCT 21 - WISDOM,39,116,160,45,112,160,41,118,161,42,113,159
Beaverhead,PRECINCT 23 - WISE RIVER,Beaverhead: PRECINCT 23 - WISE RIVER,41,105,150,60,89,151,42,107,150,50,97,151
Big Horn,PRECINCT #1,Big Horn: PRECINCT #1,31,57,88,38,50,88,30,58,88,27,59,86
Big Horn,PRECINCT #10,Big Horn: PRECINCT #10,12,49,61,12,48,61,11,50,62,14,48,62
Big Horn,PRECINCT #11,Big Horn: PRECINCT #11,92,54,148,119,25,146,86,53,140,98,48,146
Big Horn,PRECINCT #12,Big Horn: PRECINCT #12,79,23,108,98,11,109,85,20,107,81,23,104
Big Horn,PRECINCT #14,Big Horn: PRECINCT #14,77,77,166,126,45,172,92,73,169,104,64,168
Big Horn,PRECINCT #15,Big Horn: PRECINCT #15,120,135,260,172,93,268,127,129,268,134,127,261
Big Horn,PRECINCT #16,Big Horn: PRECINCT #16,58,20,80,70,11,81,59,21,81,62,15,77
Big Horn,PRECINCT #17,Big Horn: PRECINCT #17,147,213,374,206,162,378,158,197,374,170,203,373
Big Horn,PRECINCT #18,Big Horn: PRECINCT #18,134,215,367,187,170,367,137,221,369,147,217,364
Big Horn,PRECINCT #19,Big Horn: PRECINCT #19,189,291,494,259,224,496,197,283,494,197,287,484
Big Horn,PRECINCT #2,Big Horn: PRECINCT #2,68,73,153,90,57,150,68,78,148,71,74,145
Big Horn,PRECINCT #20,Big Horn: PRECINCT #20,32,95,130,46,82,129,24,101,128,34,94,128
Big Horn,PRECINCT #21,Big Horn: PRECINCT #21,218,174,406,277,129,409,221,175,405,248,156,404
Big Horn,PRECINCT #25,Big Horn: PRECINCT #25,47,35,85,59,26,85,48,36,85,51,32,83
Big Horn,PRECINCT #26,Big Horn: PRECINCT #26,174,61,249,212,36,249,163,72,247,181,62,243
Big Horn,PRECINCT #3,Big Horn: PRECINCT #3,16,79,96,23,70,95,15,78,94,16,78,94
Big Horn,PRECINCT #4,Big Horn: PRECINCT #4,17,67,89,21,63,86,16,64,82,14,71,85
Big Horn,PRECINCT #4N,Big Horn: PRECINCT #4N,27,141,173,38,133,174,23,142,173,30,144,174
