CNTY_NAME,PREC,JoinField,PresDem,PresRep,PresTot,SenDem,SenRep,SenTot,HouseDem,HouseRep,HouseTot
Carson City,101,Carson City-101,404,423,846,388,375,839,326,397,814
Carson City,103,Carson City-103,583,618,1228,589,580,1225,464,644,1200
Carson City,105,Carson City-105,428,576,1042,450,556,1041,379,619,1035
Carson City,107,Carson City-107,583,807,1436,592,767,1422,477,829,1396
Carson City,109,Carson City-109,701,851,1592,702,785,1573,576,840,1544
Carson City,111,Carson City-111,669,741,1436,653,673,1425,508,675,1375
Carson City,113,Carson City-113,623,880,1546,624,805,1536,525,839,1492
Carson City,201,Carson City-201,535,587,1160,524,542,1147,415,561,1124
Carson City,203,Carson City-203,656,701,1391,654,627,1376,498,650,1336
Carson City,205,Carson City-205,636,736,1401,656,655,1385,461,725,1347
Carson City,207,Carson City-207,476,676,1179,477,579,1166,407,598,1137
Carson City,209,Carson City-209,383,472,890,395,413,880,341,399,858
Carson City,211,Carson City-211,316,508,840,322,464,836,271,470,824
Carson City,301,Carson City-301,477,694,1199,471,616,1183,395,614,1151
Carson City,303,Carson City-303,528,700,1265,536,639,1256,431,659,1219
Carson City,305,Carson City-305,481,667,1190,491,607,1183,427,655,1154
Carson City,307,Carson City-307,939,992,1977,924,867,1951,626,928,1883
Carson City,309,Carson City-309,524,904,1470,552,859,1465,489,889,1451
Carson City,401,Carson City-401,524,544,1088,523,484,1079,409,509,1041
Carson City,403,Carson City-403,712,774,1525,717,679,1510,585,716,1465
Carson City,405,Carson City-405,526,677,1235,533,615,1227,416,624,1184
Carson City,407,Carson City-407,666,1164,1881,660,1116,1867,578,1118,1840
Carson City,409,Carson City-409,741,697,1481,745,637,1468,612,694,1443
Carson City,411,Carson City-411,260,479,761,276,449,759,251,460,750
Churchill,Precinct 01,Churchill-Precinct 01,289,603,911,282,540,900,247,530,855
Churchill,Precinct 02,Churchill-Precinct 02,240,550,818,241,504,809,224,480,764
Churchill,Precinct 03,Churchill-Precinct 03,148,338,498,140,311,496,133,307,487
Churchill,Precinct 04,Churchill-Precinct 04,218,462,701,221,400,697,201,411,660
Churchill,Precinct 05,Churchill-Precinct 05,153,379,541,160,337,540,137,339,521
Churchill,Precinct 06,Churchill-Precinct 06,155,375,546,162,343,546,155,344,532
Churchill,Precinct 07,Churchill-Precinct 07,226,664,922,228,624,915,206,621,873
Churchill,Precinct 08,Churchill-Precinct 08,85,299,395,86,280,392,113,256,387
Churchill,Precinct 09,Churchill-Precinct 09,112,377,505,124,341,501,107,348,489
Churchill,Precinct 10,Churchill-Precinct 10,162,720,902,180,658,895,190,639,875
Churchill,Precinct 11,Churchill-Precinct 11,185,720,930,187,687,926,213,644,899
Churchill,Precinct 12,Churchill-Precinct 12,92,293,401,96,281,401,85,271,386
Churchill,Precinct 13,Churchill-Precinct 13,78,396,482,90,358,478,100,353,471
Churchill,Precinct 14,Churchill-Precinct 14,119,522,656,135,479,652,140,464,632
Churchill,Precinct 15,Churchill-Precinct 15,120,571,714,145,529,712,135,521,685
Churchill,Precinct 16,Churchill-Precinct 16,181,314,507,174,288,505,147,288,485
Churchill,Precinct 17,Churchill-Precinct 17,253,893,1181,255,825,1171,281,774,1123
Churchill,Precinct 18,Churchill-Precinct 18,234,969,1233,247,902,1215,234,911,1197
Churchill,Precinct 19,Churchill-Precinct 19,129,515,658,125,492,655,151,448,642
Clark,1000,Clark-1000,286,357,652,283,319,633,272,336,624
Clark,1001,Clark-1001,420,486,919,415,442,902,416,475,891
Clark,1002,Clark-1002,3,1,4,3,1,4,3,1,4
Clark,1003,Clark-1003,2,1,3,2,1,3,2,1,3
Clark,1004,Clark-1004,755,503,1281,728,427,1242,761,454,1215
