County,Precinct,PresDem,PresRep,PresTot
Sullivan,Acworth,281,300,597
Carroll,Albany,253,194,469
Grafton,Alexandria,436,667,1134
Merrimack,Allenstown,1151,1468,2665
Cheshire,Alstead,669,527,1220
Belknap,Alton,1553,2645,4245
Hillsborough,Amherst,4674,3347,8170
Merrimack,Andover,801,788,1619
Hillsborough,Antrim,788,873,1712
Grafton,Ashland,627,614,1266
Coos,Atk. & Gilm. Ac. Gt.,0,0,0
Rockingham,Atkinson,2149,2958,5188
Rockingham,Auburn,1667,2340,4082
Belknap,Barnstead,1208,1893,3154
Strafford,Barrington,3241,2985,6347
Carroll,Bartlett,1304,782,2130
Grafton,Bath,257,434,702
Coos,Bean's Grant,0,0,0
Coos,Bean's Purchase,0,0,0
Hillsborough,Bedford,7444,6963,14783
Belknap,Belmont,1634,2626,4333
Hillsborough,Bennington,386,489,900
Grafton,Benton,76,154,235
Coos,Berlin,1921,2078,4076
Grafton,Bethlehem,1013,624,1692
Merrimack,Boscawen,935,1213,2189
Merrimack,Bow,3093,2246,5452
Merrimack,Bradford,571,521,1120
Rockingham,Brentwood,1566,1488,3146
Grafton,Bridgewater,400,472,887
Grafton,Bristol,957,1049,2066
Carroll,Brookfield,236,336,586
Hillsborough,Brookline,1875,1749,3708
Coos,Cambridge,2,3,5
Grafton,Campton,1094,1040,2184
Grafton,Canaan,1190,971,2202
Rockingham,Candia,1077,1841,2963
Merrimack,Canterbury,950,774,1765
Coos,Carroll,261,283,555
Belknap,Center Harbor,390,419,821
Coos,Chandler's Purchase,0,0,0
Sullivan,Charlestown,1126,1362,2539
Carroll,Chatham,113,119,235
Rockingham,Chester,1411,2065,3555
Cheshire,Chesterfield,1368,1039,2476
Merrimack,Chichester,741,1077,1861
Sullivan,Claremont Ward 1,861,850,1742
Sullivan,Claremont Ward 2,1118,1130,2302
Sullivan,Claremont Ward 3,876,1069,1978
Coos,Clarksville,62,131,197
Coos,Colebrook,399,726,1158
Coos,Columbia,128,286,421
Merrimack,Concord Ward 1,1487,1050,2588
Merrimack,Concord Ward 10,1903,1154,3127
Merrimack,Concord Ward 2,1313,944,2302
Merrimack,Concord Ward 3,822,535,1385
Merrimack,Concord Ward 4,1559,796,2410
Merrimack,Concord Ward 5,2077,759,2895
Merrimack,Concord Ward 6,1316,763,2129
Merrimack,Concord Ward 7,1958,938,2965
Merrimack,Concord Ward 8,1398,962,2414
Merrimack,Concord Ward 9,1383,769,2201
Carroll,Conway,3372,2529,6006
Sullivan,Cornish,660,466,1147
Coos,Crawford's Purchase,0,0,0
Sullivan,Croydon,179,381,581
Coos,Cutt's Grant,0,0,0
Coos,Dalton,263,346,621
Merrimack,Danbury,297,519,834
Rockingham,Danville,1043,1792,2879
Rockingham,Deerfield,1401,1932,3402
Hillsborough,Deering,438,699,1161
Rockingham,Derry,7851,9989,18145
Coos,Dix's Grant,0,0,0
Coos,Dixville,3,3,6
Grafton,Dorchester,100,141,248
Strafford,Dover Ward 1,2333,853,3257
Strafford,Dover Ward 2,2152,888,3120
Strafford,Dover Ward 3,2303,1398,3783
Strafford,Dover Ward 4,2242,1245,3577
Strafford,Dover Ward 5,1817,1025,2933
Strafford,Dover Ward 6,1808,1241,3114
Cheshire,Dublin,680,425,1139
Coos,Dummer,57,128,191
Merrimack,Dunbarton,899,1173,2122
Strafford,Durham,6047,2270,8486
Rockingham,East Kingston,765,910,1725
Grafton,Easton,165,75,243
Carroll,Eaton,193,127,323
Carroll,Effingham,374,627,1017
Grafton,Ellsworth,37,36,74
Grafton,Enfield,1679,1017,2761
Rockingham,Epping,2149,2719,4961
Merrimack,Epsom,1146,1853,3052
Coos,Errol,76,157,235
Coos,Erving's Location,0,0,0
Rockingham,Exeter,6782,3385,10419
Strafford,Farmington,1405,2232,3693
Cheshire,Fitzwilliam,638,802,1472
Hillsborough,Francestown,593,608,1232
Grafton,Franconia,542,267,840
Merrimack,Franklin Ward 1,569,919,1521
Merrimack,Franklin Ward 2,601,790,1429
Merrimack,Franklin Ward 3,682,864,1588
Carroll,Freedom,536,647,1205
Rockingham,Fremont,1243,1855,3148
Belknap,Gilford,2473,2751,5327
Belknap,Gilmanton,1035,1611,2680
Cheshire,Gilsum,243,267,521
Hillsborough,Goffstown,5037,5344,10615
Coos,Gorham,872,782,1682
Sullivan,Goshen,162,309,484
Grafton,Grafton,318,452,796
Sullivan,Grantham,1660,768,2483
Hillsborough,Greenfield,531,540,1093
Rockingham,Greenland,1681,1226,2969
Coos,Green's Grant,1,0,1
Hillsborough,Greenville,442,569,1040
Grafton,Groton,132,252,391
Coos,Hadley's Purchase,0,0,0
Carroll,Hale's Location,53,77,138
Rockingham,Hampstead,2425,3563,6101
Rockingham,Hampton,5521,4843,10498
Rockingham,Hampton Falls,807,911,1755
Hillsborough,Hancock,863,432,1323
Grafton,Hanover,6049,995,7224
Cheshire,Harrisville,527,229,775
Carroll,Hart's Location,21,25,46
Grafton,Haverhill,939,1464,2448
Grafton,Hebron,277,277,563
Merrimack,Henniker,1548,1324,2921
Merrimack,Hill,235,422,670
Hillsborough,Hillsborough,1465,1930,3456
Cheshire,Hinsdale,969,930,1924
Grafton,Holderness,866,589,1495
Hillsborough,Hollis,3230,2525,5904
Merrimack,Hooksett,4211,4639,9032
Merrimack,Hopkinton,2636,1492,4241
Hillsborough,Hudson,6449,8045,14732
Carroll,Jackson,541,220,780
Cheshire,Jaffrey,1528,1617,3245
Coos,Jefferson,253,422,693
Cheshire,Keene Ward 1,1541,810,2406
Cheshire,Keene Ward 2,1776,814,2654
Cheshire,Keene Ward 3,1649,799,2510
Cheshire,Keene Ward 4,1641,860,2551
Cheshire,Keene Ward 5,1934,900,2894
Rockingham,Kensington,798,760,1592
Coos,Kilkenny,0,0,0
Rockingham,Kingston,1680,2419,4169
