GEOID,NAME,Town,PresDem,PresRep,PresTot,SenDem,SenRep,SenTot
101,Barrington 0101,Barrington,1112,484,1651,1104,504,1610
102,Barrington 0102,Barrington,1428,519,2002,1421,537,1965
103,Barrington 0103,Barrington,1306,565,1933,1276,623,1903
104,Barrington 0104,Barrington,1396,550,2012,1371,604,1982
105,Barrington 0105,Barrington,720,302,1065,729,311,1041
106,Barrington 0106,Barrington,1427,446,1945,1380,526,1907
201,Bristol 0201,Bristol,523,500,1044,529,482,1012
202,Bristol 0202,Bristol,1030,986,2068,1050,925,1976
203,Bristol 0203,Bristol,518,500,1035,541,460,1003
204,Bristol 0204,Bristol,563,390,989,583,362,947
205,Bristol 0205,Bristol,916,558,1519,939,515,1455
206,Bristol 0206,Bristol,1028,564,1630,1043,521,1566
207,Bristol 0207,Bristol,1061,668,1779,1062,650,1713
208,Bristol 0208,Bristol,950,555,1551,934,571,1506
301,Burrillville 0301,Burrillville,551,942,1534,625,851,1476
302,Burrillville 0302,Burrillville,487,911,1427,519,856,1376
303,Burrillville 0303,Burrillville,643,949,1617,680,880,1565
304,Burrillville 0304,Burrillville,400,697,1123,451,633,1086
305,Burrillville 0305,Burrillville,503,812,1343,574,723,1300
306,Burrillville 0306,Burrillville,574,1068,1680,631,990,1623
401,Central Falls 0401,Central Falls,547,244,815,533,156,691
402,Central Falls 0402,Central Falls,385,213,611,383,134,519
403,Central Falls 0403,Central Falls,480,196,694,455,122,579
404,Central Falls 0404,Central Falls,210,124,342,202,84,286
405,Central Falls 0405,Central Falls,271,150,431,269,109,378
406,Central Falls 0406,Central Falls,241,166,412,238,120,358
407,Central Falls 0407,Central Falls,201,172,379,217,116,333
501,Charlestown 0501,Charlestown,683,622,1335,716,578,1295
502,Charlestown 0502,Charlestown,749,651,1435,729,649,1381
503,Charlestown 0503,Charlestown,785,629,1459,799,620,1421
504,Charlestown 0504,Charlestown,650,448,1125,657,443,1100
601,Coventry 0601,Coventry,171,225,403,183,209,393
602,Coventry 0602,Coventry,591,877,1513,619,842,1463
603,Coventry 0603,Coventry,472,618,1118,514,567,1084
604,Coventry 0604,Coventry,889,1049,1988,944,979,1926
605,Coventry 0605,Coventry,118,153,279,121,145,270
606,Coventry 0606,Coventry,411,688,1115,431,662,1093
607,Coventry 0607,Coventry,349,511,889,395,464,859
608,Coventry 0608,Coventry,257,366,643,282,337,620
609,Coventry 0609,Coventry,817,963,1823,846,930,1776
610,Coventry 0610,Coventry,1014,1251,2315,1090,1128,2222
611,Coventry 0611,Coventry,772,1089,1901,822,1006,1834
612,Coventry 0612,Coventry,223,244,475,244,216,462
613,Coventry 0613,Coventry,414,458,894,466,401,867
614,Coventry 0614,Coventry,253,370,636,283,329,615
615,Coventry 0615,Coventry,317,416,764,360,377,737
616,Coventry 0616,Coventry,738,850,1614,792,772,1565
617,Coventry 0617,Coventry,817,1092,1962,901,995,1899
701,Cranston 0701,Cranston,835,643,1509,908,518,1428
702,Cranston 0702,Cranston,741,532,1292,763,414,1179
703,Cranston 0703,Cranston,471,556,1051,552,448,1003
704,Cranston 0704,Cranston,838,1220,2107,930,1091,2027
705,Cranston 0705,Cranston,1041,1299,2394,1131,1185,2324
706,Cranston 0706,Cranston,676,787,1486,750,675,1430
707,Cranston 0707,Cranston,990,1618,2681,1095,1483,2586
708,Cranston 0708,Cranston,783,975,1803,905,823,1733
709,Cranston 0709,Cranston,746,821,1616,812,749,1566
710,Cranston 0710,Cranston,306,273,597,328,247,577
711,Cranston 0711,Cranston,1065,1238,2363,1152,1122,2280
712,Cranston 0712,Cranston,901,523,1460,909,502,1416
713,Cranston 0713,Cranston,927,569,1537,960,513,1481
714,Cranston 0714,Cranston,813,814,1673,900,721,1626
715,Cranston 0715,Cranston,519,488,1033,557,432,994
716,Cranston 0716,Cranston,568,671,1268,642,569,1214
717,Cranston 0717,Cranston,527,673,1217,598,576,1176
718,Cranston 0718,Cranston,1128,1161,2339,1185,1085,2271
719,Cranston 0719,Cranston,99,93,199,105,75,180
720,Cranston 0720,Cranston,254,203,465,275,165,442
721,Cranston 0721,Cranston,771,625,1438,837,523,1364
722,Cranston 0722,Cranston,1456,496,2016,1500,420,1930
723,Cranston 0723,Cranston,1252,756,2063,1322,657,1987
724,Cranston 0724,Cranston,1088,685,1814,1137,604,1748
725,Cranston 0725,Cranston,1856,513,2432,1873,480,2358
726,Cranston 0726,Cranston,516,405,954,539,372,912
727,Cranston 0727,Cranston,0,0,0,0,0,0
801,Cumberland 0801,Cumberland,854,706,1602,875,627,1511
802,Cumberland 0802,Cumberland,896,766,1709,980,667,1651
803,Cumberland 0803,Cumberland,972,915,1950,1071,806,1880
804,Cumberland 0804,Cumberland,559,471,1054,586,419,1006
805,Cumberland 0805,Cumberland,1066,832,1947,1081,793,1878
806,Cumberland 0806,Cumberland,730,606,1380,758,580,1340
807,Cumberland 0807,Cumberland,1069,885,2012,1076,878,1964
808,Cumberland 0808,Cumberland,748,613,1397,801,561,1363
809,Cumberland 0809,Cumberland,108,126,240,108,123,231
810,Cumberland 0810,Cumberland,898,904,1864,972,820,1795
811,Cumberland 0811,Cumberland,517,486,1022,528,457,985
812,Cumberland 0812,Cumberland,1141,913,2120,1163,886,2054
813,Cumberland 0813,Cumberland,224,229,463,232,204,437
814,Cumberland 0814,Cumberland,319,317,645,345,273,618
901,East Greenwich 0901,East Greenwich,1305,851,2232,1299,898,2206
902,East Greenwich 0902,East Greenwich,1169,660,1885,1176,666,1847
903,East Greenwich 0903,East Greenwich,456,264,744,465,269,736
904,East Greenwich 0904,East Greenwich,901,577,1507,912,568,1481
905,East Greenwich 0905,East Greenwich,1258,850,2182,1262,875,2141
1001,East Providence 1001,East Providence,1320,827,2202,1351,763,2124
1002,East Providence 1002,East Providence,944,575,1557,970,495,1467
1003,East Providence 1003,East Providence,520,278,817,516,253,770
1004,East Providence 1004,East Providence,778,422,1232,799,381,1185
1005,East Providence 1005,East Providence,827,354,1216,803,371,1179
1006,East Providence 1006,East Providence,52,50,103,57,39,96
1007,East Providence 1007,East Providence,984,642,1678,1022,541,1570
1008,East Providence 1008,East Providence,932,659,1647,999,549,1552
1009,East Providence 1009,East Providence,786,500,1318,825,417,1245
1010,East Providence 1010,East Providence,416,311,744,427,289,719
1011,East Providence 1011,East Providence,1338,819,2199,1401,726,2134
1012,East Providence 1012,East Providence,886,470,1404,941,387,1332
1013,East Providence 1013,East Providence,673,447,1160,707,407,1116
1014,East Providence 1014,East Providence,1000,691,1729,1031,630,1665
1015,East Providence 1015,East Providence,453,214,678,443,217,660
1016,East Providence 1016,East Providence,830,722,1586,885,645,1535
1017,East Providence 1017,East Providence,1011,683,1728,1034,631,1667
1101,Exeter 1101,Exeter,422,420,874,437,420,858
1102,Exeter 1102,Exeter,512,645,1198,519,644,1165
1103,Exeter 1103,Exeter,936,1010,2002,929,1021,1952
1201,Foster 1201,Foster,691,1039,1774,745,984,1731
1202,Foster 1202,Foster,422,721,1174,453,692,1147
1301,Glocester 1301,Glocester,703,965,1703,749,914,1664
1302,Glocester 1302,Glocester,683,1152,1889,724,1092,1820
1303,Glocester 1303,Glocester,527,822,1373,545,777,1325
1304,Glocester 1304,Glocester,392,544,949,417,501,921
1305,Glocester 1305,Glocester,165,298,466,179,274,453
1401,Hopkinton 1401,Hopkinton,968,1195,2216,988,1153,2147
1402,Hopkinton 1402,Hopkinton,908,998,1955,950,956,1907
1403,Hopkinton 1403,Hopkinton,386,417,820,399,393,792
1501,Jamestown 1501,Jamestown,1280,568,1905,1274,600,1876
1502,Jamestown 1502,Jamestown,1377,603,2041,1385,621,2010
1601,Johnston 1601,Johnston,403,591,1020,476,499,978
1602,Johnston 1602,Johnston,537,850,1407,663,673,1338
1603,Johnston 1603,Johnston,572,784,1375,680,631,1314
1604,Johnston 1604,Johnston,593,796,1409,690,655,1347
1605,Johnston 1605,Johnston,619,964,1604,714,839,1554
1606,Johnston 1606,Johnston,236,314,564,270,271,542
1607,Johnston 1607,Johnston,581,901,1518,731,719,1456
1608,Johnston 1608,Johnston,632,877,1543,770,714,1487
1609,Johnston 1609,Johnston,732,1075,1843,844,930,1778
1610,Johnston 1610,Johnston,603,865,1497,708,715,1429
1611,Johnston 1611,Johnston,233,439,691,273,379,653
1612,Johnston 1612,Johnston,463,756,1246,537,677,1216
1701,Lincoln 1701,Lincoln,238,324,570,265,293,560
1702,Lincoln 1702,Lincoln,661,533,1223,696,493,1190
1703,Lincoln 1703,Lincoln,546,572,1149,585,514,1102
1704,Lincoln 1704,Lincoln,1044,863,1954,1100,798,1907
1705,Lincoln 1705,Lincoln,989,866,1908,1056,790,1849
1706,Lincoln 1706,Lincoln,770,1051,1887,853,982,1847
1707,Lincoln 1707,Lincoln,217,218,443,232,198,431
1708,Lincoln 1708,Lincoln,709,635,1388,729,619,1354
1709,Lincoln 1709,Lincoln,392,370,787,420,346,767
1710,Lincoln 1710,Lincoln,356,254,620,393,214,607
1711,Lincoln 1711,Lincoln,346,316,675,375,271,647
1801,Little Compton 1801,Little Compton,1518,974,2562,1517,1005,2527
1901,Middletown 1901,Middletown,869,497,1412,886,486,1375
1902,Middletown 1902,Middletown,998,562,1606,981,564,1546
1903,Middletown 1903,Middletown,957,504,1499,962,486,1449
1904,Middletown 1904,Middletown,1068,627,1742,1039,626,1668
1905,Middletown 1905,Middletown,1076,642,1773,1095,596,1697
2001,Narragansett 2001,Narragansett,1252,914,2212,1254,883,2142
2002,Narragansett 2002,Narragansett,1329,970,2365,1353,944,2300
2003,Narragansett 2003,Narragansett,1279,886,2231,1252,902,2159
2004,Narragansett 2004,Narragansett,1191,1052,2292,1196,995,2196
2101,Newport 2101,Newport,901,369,1309,891,361,1257
2102,Newport 2102,Newport,1299,484,1838,1295,449,1754
2103,Newport 2103,Newport,240,82,331,229,77,307
2104,Newport 2104,Newport,301,88,398,295,87,382
2105,Newport 2105,Newport,411,112,538,401,117,518
2106,Newport 2106,Newport,1072,401,1522,1038,412,1452
2107,Newport 2107,Newport,679,223,914,668,207,876
2108,Newport 2108,Newport,1156,493,1685,1132,495,1632
2109,Newport 2109,Newport,1044,531,1625,1034,528,1564
2201,New Shoreham 2201,New Shoreham,661,177,868,685,167,856
2301,North Kingstown 2301,North Kingstown,1208,880,2163,1246,851,2103
2302,North Kingstown 2302,North Kingstown,863,629,1535,865,626,1495
2303,North Kingstown 2303,North Kingstown,997,761,1806,997,765,1767
2304,North Kingstown 2304,North Kingstown,730,505,1281,722,544,1267
2305,North Kingstown 2305,North Kingstown,890,628,1589,886,650,1543
2306,North Kingstown 2306,North Kingstown,570,510,1114,565,521,1086
2307,North Kingstown 2307,North Kingstown,898,661,1597,908,644,1555
2308,North Kingstown 2308,North Kingstown,1335,707,2101,1341,706,2049
2309,North Kingstown 2309,North Kingstown,1442,771,2292,1428,798,2232
2310,North Kingstown 2310,North Kingstown,1212,620,1890,1196,651,1848
2401,North Providence 2401,North Providence,998,775,1827,1055,678,1740
2402,North Providence 2402,North Providence,886,688,1622,961,588,1558
2403,North Providence 2403,North Providence,790,698,1518,881,570,1455
2404,North Providence 2404,North Providence,390,320,713,415,267,684
2405,North Providence 2405,North Providence,401,397,816,448,332,782
2406,North Providence 2406,North Providence,677,494,1199,711,431,1145
2407,North Providence 2407,North Providence,700,767,1498,778,659,1441
2408,North Providence 2408,North Providence,279,219,507,306,184,492
2409,North Providence 2409,North Providence,483,379,877,520,328,848
2410,North Providence 2410,North Providence,517,441,975,574,353,930
2411,North Providence 2411,North Providence,861,904,1794,964,752,1722
2412,North Providence 2412,North Providence,834,785,1653,909,652,1568
2413,North Providence 2413,North Providence,733,594,1351,800,483,1285
2501,North Smithfield 2501,North Smithfield,986,1239,2289,1049,1178,2229
2502,North Smithfield 2502,North Smithfield,885,952,1883,929,887,1817
2503,North Smithfield 2503,North Smithfield,828,920,1785,883,840,1727
2504,North Smithfield 2504,North Smithfield,296,249,556,310,233,544
2505,North Smithfield 2505,North Smithfield,349,332,692,349,317,666
2601,Pawtucket 2601,Pawtucket,1097,775,1927,1133,670,1808
2602,Pawtucket 2602,Pawtucket,748,480,1264,788,379,1170
2603,Pawtucket 2603,Pawtucket,671,253,957,661,208,874
2604,Pawtucket 2604,Pawtucket,700,310,1040,698,256,958
2605,Pawtucket 2605,Pawtucket,923,621,1590,969,529,1501
2606,Pawtucket 2606,Pawtucket,814,497,1376,848,421,1272
2607,Pawtucket 2607,Pawtucket,129,77,207,122,72,196
2608,Pawtucket 2608,Pawtucket,176,151,333,187,125,312
2609,Pawtucket 2609,Pawtucket,89,44,136,88,43,131
2610,Pawtucket 2610,Pawtucket,240,175,423,243,154,397
2611,Pawtucket 2611,Pawtucket,841,655,1542,867,581,1454
2612,Pawtucket 2612,Pawtucket,329,187,531,343,152,495
2613,Pawtucket 2613,Pawtucket,858,601,1490,878,498,1384
2614,Pawtucket 2614,Pawtucket,496,315,834,487,274,763
2615,Pawtucket 2615,Pawtucket,280,99,387,278,74,353
2616,Pawtucket 2616,Pawtucket,398,173,585,404,136,544
2617,Pawtucket 2617,Pawtucket,319,181,517,322,139,463
2618,Pawtucket 2618,Pawtucket,201,106,321,203,91,295
2619,Pawtucket 2619,Pawtucket,1453,277,1793,1438,248,1692
2620,Pawtucket 2620,Pawtucket,1163,291,1505,1152,241,1398
2621,Pawtucket 2621,Pawtucket,229,69,303,225,43,268
2622,Pawtucket 2622,Pawtucket,886,323,1237,857,253,1115
2623,Pawtucket 2623,Pawtucket,143,80,226,157,49,206
2624,Pawtucket 2624,Pawtucket,127,52,183,118,39,160
2625,Pawtucket 2625,Pawtucket,879,303,1213,844,222,1073
