County,Precinct,JoinField,Registered Voters,Harris,Trump,Total
Abbeville,Abbeville No. 1,Abbeville: Abbeville No 1,1672,354,923,1292
Abbeville,Abbeville No. 2,Abbeville: Abbeville No 2,1411,554,341,907
Abbeville,Abbeville No. 3,Abbeville: Abbeville No 3,1282,375,515,899
Abbeville,Abbeville No. 4,Abbeville: Abbeville No 4,796,191,416,615
Abbeville,Antreville,Abbeville: Antreville,1304,162,831,1004
Abbeville,Broadmouth,Abbeville: Broadmouth,530,65,331,399
Abbeville,Calhoun Falls,Abbeville: Calhoun Falls,1551,541,557,1105
Abbeville,Cold Springs,Abbeville: Cold Springs,890,134,604,745
Abbeville,Donald'S,Abbeville: Donald's,522,52,347,400
Abbeville,Due West,Abbeville: Due West,1439,281,811,1115
Abbeville,Hall'S Store,Abbeville: Hall's Store,641,120,320,445
Abbeville,Keowee,Abbeville: Keowee,1170,127,768,904
Abbeville,Lebanon,Abbeville: Lebanon,732,138,448,597
Abbeville,Lowndesville,Abbeville: Lowndesville,1134,126,758,894
Abbeville,Smithville,Abbeville: Smithville,847,179,532,720
Aiken,Aiken No. 1,Aiken: Aiken No 1,1154,344,588,942
Aiken,Aiken No. 2,Aiken: Aiken No 2,1059,477,166,654
Aiken,Aiken No. 3,Aiken: Aiken No 3,1572,652,152,819
Aiken,Aiken No. 4,Aiken: Aiken No 4,686,288,81,375
Aiken,Aiken No. 47,Aiken: Aiken No 47,1042,326,434,767
Aiken,Aiken No. 5,Aiken: Aiken No 5,1135,442,309,767
Aiken,Aiken No. 6,Aiken: Aiken No 6,1200,387,537,943
Aiken,Anderson Pond No. 69,Aiken: Anderson Pond No 69,2361,701,1324,2044
Aiken,Ascauga Lake No. 63,Aiken: Ascauga Lake No 63,954,212,549,765
Aiken,Ascauga Lake No. 84,Aiken: Ascauga Lake No 84,1187,293,683,985
Aiken,Bath,Aiken: Bath,720,198,278,481
Aiken,Beech Island,Aiken: Beech Island,1432,514,482,1008
Aiken,Belvedere No. 44,Aiken: Belvedere No 44,1208,360,568,948
Aiken,Belvedere No. 62,Aiken: Belvedere No 62,1211,461,450,930
Aiken,Belvedere No. 74,Aiken: Belvedere No 74,598,151,280,439
Aiken,Belvedere No. 9,Aiken: Belvedere No 9,1470,448,510,972
Aiken,Breezy Hill,Aiken: Breezy Hill,1676,720,524,1267
Aiken,Breezy No. 87,Aiken: Breezy No 87,663,137,366,513
Aiken,Carolina Heights,Aiken: Carolina Heights,1129,440,302,750
Aiken,Cedar Creek No. 64,Aiken: Cedar Creek No 64,1713,432,955,1404
Aiken,China Springs,Aiken: China Springs,1460,561,379,958
Aiken,Clearwater,Aiken: Clearwater,631,167,219,396
Aiken,College Acres,Aiken: College Acres,1658,434,845,1303
Aiken,Community No. 86,Aiken: Community No 86,878,212,463,685
Aiken,Couchton,Aiken: Couchton,1252,327,598,935
Aiken,Creek No. 85,Aiken: Creek No 85,1259,371,643,1035
Aiken,Eureka,Aiken: Eureka,1574,312,887,1213
Aiken,Fox Creek No. 58,Aiken: Fox Creek No 58,1341,301,762,1078
Aiken,Fox Creek No. 73,Aiken: Fox Creek No 73,1512,321,984,1315
Aiken,Gem Lakes No. 60,Aiken: Gem Lakes No 60,1190,297,692,1002
Aiken,Gem Lakes No. 77,Aiken: Gem Lakes No 77,1483,365,835,1221
Aiken,Gloverville,Aiken: Gloverville,958,191,535,738
Aiken,Graniteville,Aiken: Graniteville,949,192,438,639
Aiken,Hammond No. 48,Aiken: Hammond No 48,1280,382,665,1056
Aiken,Hammond No. 81,Aiken: Hammond No 81,1203,292,591,893
Aiken,Hitchcock No. 66,Aiken: Hitchcock No 66,1085,291,462,765
Aiken,Hollow Creek,Aiken: Hollow Creek,1354,364,666,1047
Aiken,Jackson,Aiken: Jackson,1441,222,873,1109
Aiken,Langley,Aiken: Langley,1153,189,613,807
Aiken,Levels No. 52,Aiken: Levels No 52,1060,332,361,703
Aiken,Levels No. 72,Aiken: Levels No 72,1036,330,419,763
Aiken,Levels No. 83,Aiken: Levels No 83,898,274,311,596
Aiken,Lynwood,Aiken: Lynwood,744,124,412,540
Aiken,Midland Valley No. 51,Aiken: Midland Valley No 51,1309,360,726,1103
Aiken,Midland Valley No. 71,Aiken: Midland Valley No 71,2403,663,1236,1917
Aiken,Midlands No. 88,Aiken: Midlands No 88,1316,396,700,1104
Aiken,Millbrook,Aiken: Millbrook,1834,508,800,1329
Aiken,Misty Lakes,Aiken: Misty Lakes,1871,513,914,1450
Aiken,Monetta,Aiken: Monetta,1039,250,487,750
Aiken,Montmorenci No. 22,Aiken: Montmorenci No 22,1851,538,863,1417
Aiken,Montmorenci No. 78,Aiken: Montmorenci No 78,1023,276,486,772
Aiken,N. Augusta No. 25,Aiken: N. Augusta No 25,1309,405,518,942
Aiken,N. Augusta No. 26,Aiken: N. Augusta No 26,919,299,338,647
Aiken,N. Augusta No. 27,Aiken: N. Augusta No 27,1428,265,897,1194
Aiken,N. Augusta No. 28,Aiken: N. Augusta No 28,982,235,560,807
Aiken,N. Augusta No. 29,Aiken: N. Augusta No 29,1448,414,629,1068
Aiken,N. Augusta No. 54,Aiken: N. Augusta No 54,1018,380,327,716
Aiken,N. Augusta No. 55,Aiken: N. Augusta No 55,965,259,502,772
Aiken,N. Augusta No. 67,Aiken: N. Augusta No 67,1229,276,759,1056
Aiken,N. Augusta No. 68,Aiken: N. Augusta No 68,1214,241,786,1045
Aiken,N. Augusta No. 80,Aiken: N. Augusta No 80,846,165,496,668
Aiken,New Ellenton,Aiken: New Ellenton,1515,514,559,1093
Aiken,New Holland,Aiken: New Holland,793,145,483,634
Aiken,Oak Grove,Aiken: Oak Grove,1147,188,661,860
Aiken,Perry,Aiken: Perry,845,141,493,647
Aiken,Pine Forest,Aiken: Pine Forest,1692,324,1054,1389
Aiken,Redds Branch,Aiken: Redds Branch,1199,275,578,860
Aiken,Salley,Aiken: Salley,645,191,259,459
Aiken,Sandstone No. 70,Aiken: Sandstone No 70,1063,300,461,780
Aiken,Sandstone No. 79,Aiken: Sandstone No 79,1110,330,474,815
Aiken,Shaws Fork,Aiken: Shaws Fork,754,177,418,605
Aiken,Shiloh,Aiken: Shiloh,1823,412,1030,1453
Aiken,Silver Bluff,Aiken: Silver Bluff,1809,637,690,1349
Aiken,Six Points No. 35,Aiken: Six Points No 35,1475,437,603,1055
Aiken,Six Points No. 46,Aiken: Six Points No 46,1149,582,121,713
Aiken,Sleepy Hollow No. 65,Aiken: Sleepy Hollow No 65,1809,362,1068,1446
Aiken,South Aiken No. 75,Aiken: South Aiken No 75,1959,554,1020,1588
Aiken,South Aiken No. 76,Aiken: South Aiken No 76,1270,371,640,1020
Aiken,South Creek No. 89,Aiken: South Creek No 89,1043,279,589,875
Aiken,SRS,Aiken: SRS,0,0,0,0
Aiken,Tabernacle,Aiken: Tabernacle,698,211,305,525
Aiken,Talatha,Aiken: Talatha,2007,518,1020,1553
Aiken,Vaucluse,Aiken: Vaucluse,2419,743,1088,1864
Aiken,Wagener,Aiken: Wagener,1923,533,919,1470
Aiken,Ward,Aiken: Ward,1443,376,695,1083
Aiken,Warrenville,Aiken: Warrenville,1876,436,977,1431
Aiken,White Pond,Aiken: White Pond,731,226,342,568
Aiken,Willow Springs,Aiken: Willow Springs,1206,200,659,871
Aiken,Windsor No. 43,Aiken: Windsor No 43,1154,265,574,853
Aiken,Windsor No. 82,Aiken: Windsor No 82,1070,241,520,772
Allendale,Allendale #1,Allendale: Allendale No 1,922,468,98,577
Allendale,Allendale #2,Allendale: Allendale No 2,840,486,12,508
Allendale,Fairfax #1,Allendale: Fairfax No 1,470,176,110,288
Allendale,Fairfax #2,Allendale: Fairfax No 2,891,497,77,581
Allendale,Martin,Allendale: Martin,236,125,50,176
Allendale,Sycamore,Allendale: Sycamore,315,62,177,242
Allendale,Ulmer,Allendale: Ulmer,198,44,96,144
Allendale,Woods,Allendale: Woods,715,306,191,504
Anderson,Anderson 1/1,Anderson: Anderson 1/1,1558,392,592,1005
Anderson,Anderson 1/2,Anderson: Anderson 1/2,1221,275,714,1015
Anderson,Anderson 2/1,Anderson: Anderson 2/1,1343,318,696,1030
Anderson,Anderson 2/2,Anderson: Anderson 2/2,2360,573,1145,1748
Anderson,Anderson 3/1,Anderson: Anderson 3/1,789,228,217,452
Anderson,Anderson 3/2,Anderson: Anderson 3/2,997,291,325,625
Anderson,Anderson 4/1,Anderson: Anderson 4/1,1104,431,125,567
Anderson,Anderson 4/2,Anderson: Anderson 4/2,1742,813,365,1192
Anderson,Anderson 5/B,Anderson: Anderson 5/B,1041,425,161,598
Anderson,Anderson 6/1,Anderson: Anderson 6/1,1858,515,830,1376
Anderson,Anderson 6/2,Anderson: Anderson 6/2,1102,334,204,547
Anderson,Appleton-Equinox,Anderson: Appleton-Equinox,792,213,223,443
Anderson,Barker'S Creek-Mcadams,Anderson: Barker's Creek-Mcadams,382,34,312,348
Anderson,Belton,Anderson: Belton,1856,307,989,1313
Anderson,Belton Annex,Anderson: Belton Annex,1822,307,1011,1340
Anderson,Bishop'S Branch,Anderson: Bishop's Branch,1936,357,1192,1567
Anderson,Bowling Green,Anderson: Bowling Green,949,140,648,794
Anderson,Broadview,Anderson: Broadview,592,257,209,472
