County,Precinct,JoinField,Trump,Harris,Total
BEAVER,BV01,BEAVER: BV01,632,69,707
BEAVER,BV02,BEAVER: BV02,540,69,615
BEAVER,BV03,BEAVER: BV03,196,13,209
BEAVER,BV04,BEAVER: BV04,406,51,462
BEAVER,GR01,BEAVER: GR01,100,15,115
BEAVER,ML01,BEAVER: ML01,71,20,94
BEAVER,ML02,BEAVER: ML02,327,111,444
BEAVER,ML03,BEAVER: ML03,94,20,118
BEAVER,MV01,BEAVER: MV01,415,26,448
BOX ELDER,BC01,BOX ELDER: BC01,290,116,425
BOX ELDER,BC02,BOX ELDER: BC02,461,180,682
BOX ELDER,BC03,BOX ELDER: BC03,397,168,603
BOX ELDER,BC04,BOX ELDER: BC04,377,126,527
BOX ELDER,BC05,BOX ELDER: BC05,328,126,472
BOX ELDER,BC06,BOX ELDER: BC06,687,204,956
BOX ELDER,BC07,BOX ELDER: BC07,484,195,722
BOX ELDER,BC08,BOX ELDER: BC08,390,152,579
BOX ELDER,BC09,BOX ELDER: BC09,233,65,321
BOX ELDER,BC10,BOX ELDER: BC10,538,183,776
BOX ELDER,BC11,BOX ELDER: BC11,228,100,341
BOX ELDER,BC12,BOX ELDER: BC12,430,208,682
BOX ELDER,BC13,BOX ELDER: BC13,352,122,496
BOX ELDER,BC14,BOX ELDER: BC14,453,209,710
BOX ELDER,BC15,BOX ELDER: BC15,495,176,717
BOX ELDER,BCNW,BOX ELDER: BCNW,470,82,584
BOX ELDER,BD/C,BOX ELDER: BD/C,338,36,386
BOX ELDER,BEAR,BOX ELDER: BEAR,521,70,619
BOX ELDER,BOXW,BOX ELDER: BOXW,182,4,193
BOX ELDER,COR1,BOX ELDER: COR1,626,113,774
BOX ELDER,DEWY,BOX ELDER: DEWY,313,64,391
BOX ELDER,ELWD,BOX ELDER: ELWD,727,88,869
BOX ELDER,FLDG1,BOX ELDER: FLDG1,272,23,307
BOX ELDER,FLDG2,BOX ELDER: FLDG2,346,37,390
BOX ELDER,GAR1,BOX ELDER: GAR1,663,97,792
BOX ELDER,GAR2,BOX ELDER: GAR2,481,96,602
BOX ELDER,GARE,BOX ELDER: GARE,366,23,422
BOX ELDER,HNY1,BOX ELDER: HNY1,390,60,477
BOX ELDER,HNY2,BOX ELDER: HNY2,356,61,448
BOX ELDER,HONY,BOX ELDER: HONY,0,0,0
BOX ELDER,HOWL,BOX ELDER: HOWL,129,17,148
BOX ELDER,MANT,BOX ELDER: MANT,652,105,807
BOX ELDER,PER1,BOX ELDER: PER1,711,166,927
BOX ELDER,PER2,BOX ELDER: PER2,366,91,486
BOX ELDER,PER3,BOX ELDER: PER3,563,160,786
BOX ELDER,PER4,BOX ELDER: PER4,682,153,884
BOX ELDER,PLYM,BOX ELDER: PLYM,311,26,347
BOX ELDER,PORT,BOX ELDER: PORT,157,16,181
BOX ELDER,RIV,BOX ELDER: RIV,341,31,395
BOX ELDER,SNOW,BOX ELDER: SNOW,90,4,96
BOX ELDER,SW01,BOX ELDER: SW01,434,78,535
BOX ELDER,SW02,BOX ELDER: SW02,309,68,395
BOX ELDER,TRE1,BOX ELDER: TRE1,703,128,863
BOX ELDER,TRE2,BOX ELDER: TRE2,527,102,651
BOX ELDER,TRE3,BOX ELDER: TRE3,643,139,819
BOX ELDER,TRE4,BOX ELDER: TRE4,856,195,1088
BOX ELDER,TRE5,BOX ELDER: TRE5,675,138,851
BOX ELDER,TRE6,BOX ELDER: TRE6,340,78,431
BOX ELDER,TRES,BOX ELDER: TRES,523,55,609
BOX ELDER,TREW,BOX ELDER: TREW,668,106,824
BOX ELDER,WLD1,BOX ELDER: WLD1,532,132,696
BOX ELDER,WLD2,BOX ELDER: WLD2,447,102,586
CACHE,AMA:I,CACHE: AMA:I,189,37,235
CACHE,AMA:U1,CACHE: AMA:U1,2,0,2
CACHE,AMA:U2,CACHE: AMA:U2,0,0,0
CACHE,AMA:U3,CACHE: AMA:U3,13,0,13
CACHE,BEN,CACHE: BEN,296,67,381
CACHE,CLK:I,CACHE: CLK:I,324,50,389
CACHE,CLK:U1,CACHE: CLK:U1,33,7,44
CACHE,CLK:U2,CACHE: CLK:U2,0,0,0
CACHE,COR:I,CACHE: COR:I,106,11,121
CACHE,COR:U,CACHE: COR:U,14,3,17
CACHE,COV:U,CACHE: COV:U,211,34,262
CACHE,COV:U2,CACHE: COV:U2,43,7,52
CACHE,CY,CACHE: CY,391,85,515
CACHE,HYD01:I,CACHE: HYD01:I,530,247,849
CACHE,HYD01:U,CACHE: HYD01:U,0,0,0
CACHE,HYD02:I,CACHE: HYD02:I,601,302,966
CACHE,HYD02:U1,CACHE: HYD02:U1,31,4,36
CACHE,HYD02:U2,CACHE: HYD02:U2,0,0,0
CACHE,HYD03:I,CACHE: HYD03:I,864,339,1279
CACHE,HYD03:U,CACHE: HYD03:U,0,0,0
CACHE,HYR01:I,CACHE: HYR01:I,487,181,710
CACHE,HYR01:U,CACHE: HYR01:U,126,28,158
CACHE,HYR02:I,CACHE: HYR02:I,486,132,645
CACHE,HYR02:U1,CACHE: HYR02:U1,12,0,13
CACHE,HYR02:U2,CACHE: HYR02:U2,0,0,0
CACHE,HYR03:I,CACHE: HYR03:I,641,186,883
CACHE,HYR03:U,CACHE: HYR03:U,11,3,15
CACHE,HYR04:I,CACHE: HYR04:I,795,227,1102
CACHE,HYR04:U1,CACHE: HYR04:U1,0,0,0
CACHE,HYR04:U2,CACHE: HYR04:U2,73,8,86
CACHE,HYR04:U3,CACHE: HYR04:U3,1,0,1
CACHE,HYR05:I,CACHE: HYR05:I,1037,362,1494
CACHE,HYR05:U1,CACHE: HYR05:U1,19,2,21
CACHE,HYR05:U2,CACHE: HYR05:U2,0,0,7
CACHE,LEW00,CACHE: LEW00,0,0,0
CACHE,LEW01:I,CACHE: LEW01:I,734,156,933
CACHE,LEW01:U1,CACHE: LEW01:U1,0,0,3
CACHE,LEW01:U2,CACHE: LEW01:U2,0,0,0
CACHE,LEW01:U3,CACHE: LEW01:U3,0,0,0
CACHE,LEW01:U4,CACHE: LEW01:U4,0,0,0
CACHE,LOG01,CACHE: LOG01,597,497,1165
CACHE,LOG02,CACHE: LOG02,443,358,851
CACHE,LOG03,CACHE: LOG03,258,237,523
CACHE,LOG04,CACHE: LOG04,474,400,941
CACHE,LOG05,CACHE: LOG05,541,402,1008
CACHE,LOG06,CACHE: LOG06,333,224,606
CACHE,LOG07,CACHE: LOG07,250,278,582
CACHE,LOG08,CACHE: LOG08,269,357,682
CACHE,LOG09,CACHE: LOG09,426,281,756
CACHE,LOG10,CACHE: LOG10,322,430,806
CACHE,LOG11,CACHE: LOG11,167,212,413
CACHE,LOG12,CACHE: LOG12,444,320,826
CACHE,LOG13:I,CACHE: LOG13:I,230,284,536
CACHE,LOG13:U,CACHE: LOG13:U,1,0,1
CACHE,LOG14:I,CACHE: LOG14:I,338,328,717
CACHE,LOG14:U1,CACHE: LOG14:U1,0,0,0
CACHE,LOG14:U2,CACHE: LOG14:U2,0,0,0
CACHE,LOG14:U3,CACHE: LOG14:U3,0,0,0
CACHE,LOG15,CACHE: LOG15,306,180,508
CACHE,LOG16,CACHE: LOG16,432,465,956
CACHE,LOG17,CACHE: LOG17,337,362,745
CACHE,LOG18:CSD,CACHE: LOG18:CSD,95,104,202
CACHE,LOG18:IA,CACHE: LOG18:IA,408,447,923
CACHE,LOG18:IB,CACHE: LOG18:IB,0,0,0
CACHE,LOG19,CACHE: LOG19,285,324,650
CACHE,LOG20,CACHE: LOG20,422,400,867
CACHE,LOG21:CSD,CACHE: LOG21:CSD,3,1,4
CACHE,LOG21:IA,CACHE: LOG21:IA,422,343,828
CACHE,LOG21:IB,CACHE: LOG21:IB,0,0,1
CACHE,LOG21:IC,CACHE: LOG21:IC,0,0,0
CACHE,LOG22:CSD,CACHE: LOG22:CSD,26,34,66
CACHE,LOG22:I,CACHE: LOG22:I,239,134,403
CACHE,LOG23,CACHE: LOG23,388,242,677
CACHE,LOG24:17C1,CACHE: LOG24:17C1,0,0,0
CACHE,LOG24:17C2,CACHE: LOG24:17C2,2,0,2
CACHE,LOG24:CSD1,CACHE: LOG24:CSD1,0,0,0
CACHE,LOG24:CSD2,CACHE: LOG24:CSD2,173,86,281
CACHE,LOG24:CSD3,CACHE: LOG24:CSD3,113,102,224
CACHE,LOG24:I,CACHE: LOG24:I,461,273,774
CACHE,LOG24:U,CACHE: LOG24:U,0,0,0
CACHE,LOG25,CACHE: LOG25,205,109,340
CACHE,MEN01,CACHE: MEN01,125,23,156
CACHE,MEN02:I,CACHE: MEN02:I,606,150,812
CACHE,MEN02:U,CACHE: MEN02:U,445,112,596
CACHE,MIL01:I,CACHE: MIL01:I,824,215,1115
CACHE,MIL01:U,CACHE: MIL01:U,0,0,0
CACHE,MIL02:I,CACHE: MIL02:I,61,16,82
CACHE,MIL02:U1,CACHE: MIL02:U1,39,9,52
CACHE,MIL02:U2,CACHE: MIL02:U2,0,0,0
CACHE,NEW:I,CACHE: NEW:I,371,78,477
CACHE,NEW:U,CACHE: NEW:U,89,16,108
CACHE,NEW:U2,CACHE: NEW:U2,12,0,12
CACHE,NIB01:IA,CACHE: NIB01:IA,483,187,711
CACHE,NIB01:IB,CACHE: NIB01:IB,0,0,0
CACHE,NIB01:U1,CACHE: NIB01:U1,1,0,1
CACHE,NIB01:U2,CACHE: NIB01:U2,0,0,1
CACHE,NIB01:U3,CACHE: NIB01:U3,29,5,36
CACHE,NIB02,CACHE: NIB02,805,300,1195
CACHE,NIB03,CACHE: NIB03,612,213,864
CACHE,NIB04:I,CACHE: NIB04:I,755,201,1022
CACHE,NIB04:U,CACHE: NIB04:U,38,10,58
CACHE,NLG01,CACHE: NLG01,538,405,1007
CACHE,NLG02,CACHE: NLG02,652,408,1125
CACHE,NLG03:I,CACHE: NLG03:I,501,213,772
CACHE,NLG03:U,CACHE: NLG03:U,5,6,11
CACHE,NLG04:I,CACHE: NLG04:I,745,302,1145
CACHE,NLG04:U,CACHE: NLG04:U,33,3,36
CACHE,NLG05,CACHE: NLG05,452,269,780
CACHE,NLG06,CACHE: NLG06,446,299,807
CACHE,PAR:I,CACHE: PAR:I,453,76,556
CACHE,PAR:U,CACHE: PAR:U,407,93,531
CACHE,PRO01:IA,CACHE: PRO01:IA,362,136,524
CACHE,PRO01:IB,CACHE: PRO01:IB,0,0,0
CACHE,PRO01:IC,CACHE: PRO01:IC,0,0,1
CACHE,PRO02:IA,CACHE: PRO02:IA,582,278,929
